n,Iterative,Recursive
891,6843,73557
892,7271,69280
893,6842,71418
894,6842,69708
895,7270,69708
896,7270,84675
897,6843,70563
898,6842,71846
899,7271,72273
900,6843,71418
901,7271,71418
902,7270,69280
903,6842,71419
904,6843,70563
905,7270,70136
906,6843,70135
907,6842,73557
908,6843,91091
909,6842,73129
910,6842,71846
911,7271,72701
912,6842,73984
913,6842,85531
914,6843,69280
915,7270,72274
916,6843,216393
917,7270,74839
918,6842,74840
919,7270,74839
920,6842,74840
921,6843,84248
922,6842,74840
923,7271,75695
924,7270,75267
925,7270,74839
926,6843,75267
927,6843,75267
928,7270,124019
929,7270,76122
930,7270,76123
931,14968,94511
932,7270,73556
933,6842,75267
934,7271,74839
935,7270,73557
936,7698,108197
937,7270,76550
938,7697,80399
939,7270,78261
940,7271,72273
941,7270,130863
942,7698,87241
943,7698,85103
944,7271,87241
945,7270,84676
946,7271,87242
947,7270,88524
948,7270,109907
949,7698,75695
950,7270,79116
951,7270,82537
952,7270,79544
953,7270,82537
954,7698,131290
955,7270,85531
956,7698,86386
957,7698,82537
958,7698,82965
959,7698,82965
960,7697,75695
961,7698,98788
962,7698,83393
963,7697,83820
964,7697,83820
965,7698,100071
966,7698,83393
967,6843,78688
968,8125,89380
969,8125,86813
970,8125,84248
971,7698,84248
972,7698,88096
973,7698,84248
974,7270,80827
975,7698,83820
976,7698,84676
977,8126,84675
978,7698,87242
979,7698,84675
980,7698,85531
981,7270,118888
982,8125,109907
983,8125,85104
984,8126,85103
985,8126,85531
986,7698,89379
987,8125,78261
988,8125,85959
989,8126,85958
990,7698,85958
991,8125,85959
992,8125,85959
993,8126,84248
994,7698,367783
995,7698,91945
996,7697,96223
997,8125,91518
998,7697,91946
999,8126,112901
1000,8125,95795
1001,8126,91945
1002,7698,92801
1003,7698,91946
1004,7698,92801
1005,8125,94940
1006,7698,85531
1007,8125,81255
1008,7698,87669
1009,7698,84675
1010,9409,90663
1011,8125,90663
1012,10264,91518
1013,8126,94084
1014,8126,91945
1015,7697,91518
1016,8553,108197
1017,8553,92373
1018,8126,95367
1019,8125,92801
1020,8126,92801
1021,8125,93229
1022,8125,92801
1023,7697,97078
1024,8553,93228
1025,8126,90662
1026,8125,88952
1027,7697,87242
1028,7697,88524
1029,7698,92801
